#,運航会社,便名,出発地,出発時刻,到着地,到着時刻,区間マイル,アクション,料金
345,RAC,841,沖縄(那覇),11:15,北大東,12:15,229,,13420
346,JAC,3745,鹿児島,11:15,屋久島,11:55,102,,9020
347,JAC,3861,奄美大島,11:15,与論,12:00,125,,14080
348,HAC,3443,札幌(丘珠),11:15,函館,11:55,90,,7700
349,JAL,659,東京(羽田),11:15,奄美大島,13:35,787,,19470
350,J-AIR,2204,仙台,11:15,大阪(伊丹),12:35,396,,10780
351,JAC,3825,鹿児島,11:15,与論,12:50,358,,18260
352,J-AIR,2373,大阪(伊丹),11:20,長崎,12:40,330,,10230
353,JAL,478,高松,11:20,東京(羽田),12:35,354,,13310
354,JTA,4,沖縄(那覇),11:20,大阪(関西),13:10,739,,13200
355,RAC,724,与那国,11:20,沖縄(那覇),12:35,316,,23430
356,J-AIR,2183,大阪(伊丹),11:20,花巻,12:40,474,,16500
357,FDA,4528,仙台,11:20,福岡,13:35,665,,16830
358,FDA,4385,名古屋(小牧),11:20,福岡,12:55,374,,17050
359,HAC,2891,函館,11:20,奥尻,11:50,74,,6270
360,JTA,36,沖縄(那覇),11:25,小松,13:35,873,,20020
361,JAC,2451,大阪(伊丹),11:25,屋久島,13:15,402,,25410
362,JAL,479,東京(羽田),11:25,高松,12:45,354,,13310
363,HAC,2895,札幌(丘珠),11:25,奥尻,12:15,123,,9900
364,J-AIR,2804,青森,11:30,札幌(新千歳),12:15,153,,8250
365,JAL,987,東京(羽田),11:30,沖縄(那覇),14:20,984,,13860
366,J-AIR,3564,徳島,11:30,福岡,12:45,242,,13530
367,JAL,629,東京(羽田),11:30,熊本,13:25,568,,15070
368,JAL,513,東京(羽田),11:30,札幌(新千歳),13:05,510,,13750
369,JAL,114,大阪(伊丹),11:30,東京(羽田),12:40,280,,10120
370,JTA,608,石垣,11:35,沖縄(那覇),12:35,247,,7590
371,J-AIR,691,東京(羽田),11:35,宮崎,13:25,561,,15070
372,RAC,831,宮古,11:35,石垣,12:05,72,,12430
373,JAL,115,東京(羽田),11:35,大阪(伊丹),12:45,280,,10120
374,JAL,906,沖縄(那覇),11:40,東京(羽田),14:00,984,,13860
375,HAC,2817,札幌(丘珠),11:40,三沢,12:40,156,,8250
376,JAL,508,札幌(新千歳),11:40,東京(羽田),13:25,510,,13750
377,JAC,3744,屋久島,11:40,鹿児島,12:20,102,,9020
378,JAL,494,高知,11:40,東京(羽田),12:55,393,,13090
379,HAC,2863,札幌(丘珠),11:40,釧路,12:25,136,,7700
380,J-AIR,2162,三沢,11:40,大阪(伊丹),13:25,536,,16280
381,JAL,2005,大阪(伊丹),11:45,札幌(新千歳),13:30,666,,11990
382,JAL,259,東京(羽田),11:45,広島,13:10,414,,12540
383,RAC,824,与論,11:45,沖縄(那覇),12:20,74,,12430
384,JAL,215,東京(羽田),11:45,南紀白浜,13:00,303,,16720
385,J-AIR,2471,大阪(伊丹),11:45,徳之島,13:45,603,,38060
386,J-AIR,3625,福岡,11:50,宮崎,12:40,131,,6490
387,JTA,42,沖縄(那覇),11:50,名古屋(中部),13:55,809,,15290
388,FDA,4484,新潟,11:50,札幌(新千歳),13:05,369,,9790
389,J-AIR,3726,奄美大島,11:50,鹿児島,12:40,242,,14410
390,J-AIR,3729,鹿児島,11:50,奄美大島,12:45,242,,14410
391,JAL,668,大分,11:55,東京(羽田),13:20,499,,15070
392,JAL,434,松山,11:55,東京(羽田),13:15,438,,13750
393,JAL,144,青森,11:55,東京(羽田),13:20,358,,14300
394,JAL,915,東京(羽田),11:55,沖縄(那覇),14:45,984,,13860
395,J-AIR,2173,大阪(伊丹),11:55,秋田,13:10,439,,11000
396,JAL,2084,沖縄(那覇),11:55,大阪(伊丹),13:45,739,,13200
397,J-AIR,2153,大阪(伊丹),11:55,青森,13:20,523,,12100
398,FDA,4363,大阪(神戸),11:55,松本,12:55,183,,17050
399,JAL,3513,福岡,11:55,札幌(新千歳),14:10,882,,12650
400,JAL,647,東京(羽田),11:55,鹿児島,13:50,601,,14410
401,JAC,3711,徳之島,12:00,沖永良部,12:25,30,,8250
402,J-AIR,2364,大分,12:00,大阪(伊丹),12:55,219,,9790
403,JAL,3912,札幌(新千歳),12:00,大阪(伊丹),14:00,666,,11990
404,JTA,559,沖縄(那覇),12:00,宮古,13:00,177,,7150
405,J-AIR,2244,新潟,12:00,大阪(伊丹),13:10,314,,9680
406,JAL,312,福岡,12:00,東京(羽田),13:40,567,,14410
407,JAL,280,出雲,12:00,東京(羽田),13:15,405,,15620
408,JAL,4054,対馬,12:05,長崎,12:45,98,,12210
409,J-AIR,2386,熊本,12:05,大阪(伊丹),13:10,290,,10890
410,FDA,4305,静岡,12:05,鹿児島,13:55,479,,20570
411,JAL,435,東京(羽田),12:05,松山,13:40,438,,13750
412,J-AIR,2346,出雲,12:05,大阪(伊丹),12:55,148,,10230
413,JAL,317,東京(羽田),12:05,福岡,14:00,567,,14410
414,JAL,2504,札幌(新千歳),12:05,大阪(関西),14:30,666,,11990
415,JAL,4095,福岡,12:10,五島福江,13:00,113,,14080
416,FDA,4413,名古屋(小牧),12:10,花巻,13:20,409,,21010
417,HAC,2824,秋田,12:10,札幌(丘珠),13:15,238,,8800
418,JAL,665,東京(羽田),12:10,大分,13:55,499,,15070
419,JTA,558,宮古,12:15,沖縄(那覇),13:05,177,,7150
420,JAL,567,東京(羽田),12:15,女満別,14:00,609,,14410
421,JAC,3764,種子島,12:15,鹿児島,12:50,88,,9240
422,JAL,456,徳島,12:15,東京(羽田),13:30,329,,12760
423,JAL,2004,札幌(新千歳),12:15,大阪(伊丹),14:15,666,,11990
424,RAC,877,沖縄(那覇),12:15,久米島,12:50,59,,5500
425,FDA,4522,出雲,12:20,名古屋(中部),13:20,226,,17380
426,HAC,2890,奥尻,12:20,函館,12:50,74,,6270
427,FDA,4352,松本,12:20,札幌(新千歳),13:55,507,,26730
428,FDA,4405,名古屋(小牧),12:20,熊本,13:50,375,,18370
429,JAL,256,広島,12:20,東京(羽田),13:40,414,,12540
430,JAL,908,沖縄(那覇),12:20,東京(羽田),14:35,984,,13860
431,J-AIR,293,東京(羽田),12:20,山口宇部,14:05,510,,13200
432,JAL,610,長崎,12:20,東京(羽田),13:55,610,,16940
433,J-AIR,2434,宮崎,12:20,大阪(伊丹),13:25,292,,10340
434,JAC,3676,屋久島,12:25,福岡,13:40,225,,13420
435,HAC,3442,函館,12:25,札幌(丘珠),13:05,90,,7700
436,JTA,610,石垣,12:25,沖縄(那覇),13:30,247,,7590
437,J-AIR,2905,仙台,12:25,札幌(新千歳),13:35,335,,11000
438,JAL,117,東京(羽田),12:30,大阪(伊丹),13:40,280,,10120
439,JAL,116,大阪(伊丹),12:30,東京(羽田),13:40,280,,10120
440,JAL,609,東京(羽田),12:30,長崎,14:25,610,,16940
441,JAC,3866,与論,12:30,沖縄(那覇),13:10,74,,12430
442,JAL,2464,奄美大島,12:30,大阪(伊丹),13:55,541,,11110
443,JAC,3803,鹿児島,12:35,沖永良部,14:05,326,,17380
444,JAL,515,東京(羽田),12:35,札幌(新千歳),14:10,510,,13750
445,JTA,609,沖縄(那覇),12:35,石垣,13:40,247,,7590
446,J-AIR,164,秋田,12:35,東京(羽田),13:45,279,,11110
447,J-AIR,3596,松山,12:35,福岡,13:25,131,,12980
448,J-AIR,3629,福岡,12:35,宮崎,13:20,131,,6490
449,RAC,743,石垣,12:35,与那国,13:05,80,,9350
450,FDA,4491,札幌(新千歳),12:40,山形,14:00,321,,18700
451,JAL,459,東京(羽田),12:40,徳島,13:55,329,,12760
452,FDA,4476,新潟,12:40,福岡,14:45,572,,24420
453,JAL,3881,大阪(伊丹),12:40,熊本,14:20,290,,10890
454,FDA,4444,山形,12:45,名古屋(小牧),14:00,315,,20680
455,J-AIR,2715,札幌(新千歳),12:45,女満別,13:25,148,,7370
456,RAC,842,北大東,12:45,沖縄(那覇),13:50,229,,13420
457,J-AIR,154,三沢,12:45,東京(羽田),14:10,355,,13750
458,JAL,543,東京(羽田),12:45,釧路,14:30,555,,13640
459,JAL,236,岡山,12:45,東京(羽田),13:55,356,,11880
460,HAC,2894,奥尻,12:45,札幌(丘珠),13:35,123,,9900
461,JAL,628,熊本,12:45,東京(羽田),14:20,568,,15070
462,HAC,2749,札幌(丘珠),12:45,函館,13:25,90,,7700
463,J-AIR,2375,大阪(伊丹),12:45,長崎,14:05,330,,10230
464,JAL,646,鹿児島,12:45,東京(羽田),14:20,601,,14410
465,JAL,225,東京(羽田),12:45,大阪(関西),14:10,280,,10120
466,J-AIR,2206,仙台,12:50,大阪(伊丹),14:10,396,,10780
467,JAL,587,東京(羽田),12:50,函館,14:10,424,,13200
468,J-AIR,2408,鹿児島,12:50,大阪(伊丹),14:00,329,,10670
469,FDA,4435,名古屋(小牧),12:50,新潟,13:45,249,,18920
470,HAC,2862,釧路,12:55,札幌(丘珠),13:45,136,,7700
471,JAL,510,札幌(新千歳),12:55,東京(羽田),14:40,510,,13750
472,JAC,3716,沖永良部,12:55,沖縄(那覇),13:45,107,,13860
473,J-AIR,692,宮崎,12:55,東京(羽田),14:30,561,,15070
474,JAC,3673,福岡,12:55,屋久島,14:10,225,,13420
475,JAL,319,東京(羽田),13:00,福岡,15:00,567,,14410
476,RAC,825,沖縄(那覇),13:00,与論,13:40,74,,12430
477,JTA,57,福岡,13:00,沖縄(那覇),14:55,537,,15730
478,FDA,4424,青森,13:00,名古屋(小牧),14:30,465,,21010
479,JAL,314,福岡,13:00,東京(羽田),14:40,567,,14410
480,FDA,4323,静岡,13:00,札幌(新千歳),14:50,592,,23320
481,JAC,3795,鹿児島,13:00,徳之島,14:30,296,,15070
482,JAL,145,東京(羽田),13:00,青森,14:15,358,,14300
483,JAL,187,東京(羽田),13:05,小松,14:10,211,,9790
484,JAL,572,帯広,13:05,東京(羽田),14:55,526,,14190
485,J-AIR,2374,長崎,13:10,大阪(伊丹),14:15,330,,10230
486,J-AIR,2457,大阪(伊丹),13:10,種子島,14:30,379,,22330
487,HAC,2816,三沢,13:10,札幌(丘珠),14:05,156,,8250
488,J-AIR,2182,花巻,13:10,大阪(伊丹),14:40,474,,16500
489,JAL,3107,名古屋(中部),13:10,札幌(新千歳),14:50,614,,12100
490,J-AIR,3626,宮崎,13:10,福岡,14:00,131,,6490
491,JAC,3821,鹿児島,13:10,与論,14:40,358,,18260
492,J-AIR,2124,函館,13:10,大阪(伊丹),14:55,578,,12650
493,J-AIR,2805,札幌(新千歳),13:15,青森,14:05,153,,8250
494,JAL,481,東京(羽田),13:15,高松,14:40,354,,13310
495,JTA,54,沖縄(那覇),13:15,福岡,15:00,537,,15730
496,RAC,815,沖縄(那覇),13:15,与論,13:55,74,,12430
497,J-AIR,3728,奄美大島,13:15,鹿児島,14:05,242,,14410
498,J-AIR,3731,鹿児島,13:15,奄美大島,14:10,242,,14410
499,JTA,612,石垣,13:15,沖縄(那覇),14:15,247,,7590
500,JAL,631,東京(羽田),13:15,熊本,15:00,568,,15070
501,J-AIR,3601,福岡,13:15,松山,14:05,131,,12980
502,JAC,3826,与論,13:20,鹿児島,14:45,358,,18260
503,JAL,4075,長崎,13:20,五島福江,13:50,67,,10230
504,HAC,2746,函館,13:20,札幌(丘珠),14:00,90,,7700
505,RAC,878,久米島,13:20,沖縄(那覇),14:00,59,,5500
506,JAL,517,東京(羽田),13:20,札幌(新千歳),14:50,510,,13750
507,J-AIR,2207,大阪(伊丹),13:20,仙台,14:30,396,,10780
508,JAL,480,高松,13:25,東京(羽田),14:40,354,,13310
509,JAL,4074,五島福江,13:30,長崎,14:00,67,,10230
510,JAL,375,東京(羽田),13:30,北九州,15:15,534,,13310
511,JAC,3785,鹿児島,13:30,喜界島,14:40,246,,13530
512,J-AIR,2437,大阪(伊丹),13:30,宮崎,14:35,292,,10340
513,JAL,3917,大阪(伊丹),13:30,札幌(新千歳),15:15,666,,11990
514,FDA,4344,松本,13:30,福岡,15:20,461,,25630
515,JAL,119,東京(羽田),13:30,大阪(伊丹),14:40,280,,10120
516,FDA,4525,福岡,13:30,花巻,15:25,724,,24090
517,JAL,554,旭川,13:35,東京(羽田),15:25,576,,14190
518,RAC,744,与那国,13:35,石垣,14:05,80,,9350
519,JTA,560,宮古,13:40,沖縄(那覇),14:30,177,,7150
520,FDA,4485,札幌(新千歳),13:40,新潟,15:05,369,,9790
521,J-AIR,2174,秋田,13:40,大阪(伊丹),15:05,439,,11000
522,JAL,495,東京(羽田),13:40,高知,15:10,393,,13090
523,J-AIR,2057,大阪(伊丹),13:40,福岡,14:55,287,,8690
524,JAL,118,大阪(伊丹),13:40,東京(羽田),14:50,280,,10120
525,JAC,3746,屋久島,13:45,鹿児島,14:20,102,,9020
526,J-AIR,2247,大阪(伊丹),13:45,新潟,14:45,314,,9680
527,JTA,211,沖縄(那覇),13:45,久米島,14:20,59,,5500
528,JAL,321,東京(羽田),13:45,福岡,15:40,567,,14410
529,JAL,258,広島,13:45,東京(羽田),15:05,414,,12540
530,J-AIR,2185,大阪(伊丹),13:45,花巻,15:00,474,,16500
531,JAL,214,南紀白浜,13:45,東京(羽田),14:55,303,,16720
532,JAL,910,沖縄(那覇),13:45,東京(羽田),15:55,984,,13860
533,JAC,3867,沖縄(那覇),13:50,奄美大島,14:50,199,,17820
534,J-AIR,3630,宮崎,13:50,福岡,14:45,131,,6490
535,JAL,3512,札幌(新千歳),13:50,福岡,16:25,882,,12650
536,FDA,4360,大阪(神戸),13:50,松本,14:50,183,,17050
537,FDA,4515,名古屋(中部),13:55,高知,15:00,201,,15620
538,J-AIR,2154,青森,13:55,大阪(伊丹),15:35,523,,12100
539,J-AIR,2714,女満別,13:55,札幌(新千歳),14:45,148,,7370
540,FDA,4524,花巻,13:55,福岡,16:20,724,,24090
541,J-AIR,3633,福岡,13:55,宮崎,14:45,131,,6490
542,JTA,5,大阪(関西),14:00,沖縄(那覇),16:20,739,,13200
543,JAL,555,東京(羽田),14:00,旭川,15:35,576,,14190
544,HAC,2748,函館,14:00,札幌(丘珠),14:40,90,,7700
545,J-AIR,694,宮崎,14:00,東京(羽田),15:35,561,,15070
546,J-AIR,2481,大阪(伊丹),14:00,鹿児島,15:15,329,,10670
547,JAL,316,福岡,14:05,東京(羽田),15:40,567,,14410
548,JAL,649,東京(羽田),14:05,鹿児島,15:55,601,,14410
549,JAL,577,東京(羽田),14:05,帯広,15:35,526,,14190
550,JAL,611,東京(羽田),14:05,長崎,16:05,610,,16940
551,JAL,512,札幌(新千歳),14:05,東京(羽田),15:50,510,,13750
552,J-AIR,2235,大阪(伊丹),14:05,山形,15:15,385,,11220
553,FDA,4531,福岡,14:10,仙台,16:00,665,,16830
554,RAC,826,与論,14:10,沖縄(那覇),14:45,74,,12430
555,JAL,912,沖縄(那覇),14:10,東京(羽田),16:30,984,,13860
556,JAL,3114,札幌(新千歳),14:15,名古屋(中部),16:05,614,,12100
557,JAL,917,東京(羽田),14:15,沖縄(那覇),17:05,984,,13860
558,J-AIR,2470,徳之島,14:15,大阪(伊丹),15:45,603,,38060
559,JAL,630,熊本,14:15,東京(羽田),15:45,568,,15070
560,HAC,2865,札幌(丘珠),14:15,釧路,15:00,136,,7700
561,JAL,263,東京(羽田),14:15,広島,15:40,414,,12540
562,JTA,37,小松,14:15,沖縄(那覇),16:50,873,,20020
563,JTA,614,石垣,14:20,沖縄(那覇),15:20,247,,7590
564,RAC,863,沖縄(那覇),14:20,南大東,15:20,225,,13420
565,FDA,4434,新潟,14:20,名古屋(小牧),15:20,249,,18920
566,JAL,4098,五島福江,14:20,福岡,15:05,113,,14080
567,JTA,563,沖縄(那覇),14:20,宮古,15:20,177,,7150
568,JAC,3653,福岡,14:20,鹿児島,15:15,125,,9240
569,JAL,436,松山,14:25,東京(羽田),15:50,438,,13750
570,FDA,4406,熊本,14:25,名古屋(小牧),15:45,375,,18370
571,FDA,4306,鹿児島,14:25,静岡,15:50,479,,20570
572,JAL,3515,福岡,14:25,札幌(新千歳),16:40,882,,12650
573,RAC,816,与論,14:25,沖縄(那覇),15:00,74,,12430
574,JAL,519,東京(羽田),14:25,札幌(新千歳),15:55,510,,13750
575,JAL,120,大阪(伊丹),14:30,東京(羽田),15:35,280,,10120
576,JAC,3715,沖縄(那覇),14:30,沖永良部,15:15,107,,13860
577,J-AIR,2904,札幌(新千歳),14:30,仙台,15:35,335,,11000
578,J-AIR,693,東京(羽田),14:30,宮崎,16:20,561,,15070
579,JAL,658,奄美大島,14:30,東京(羽田),16:25,787,,19470
580,JAL,3084,名古屋(中部),14:30,東京(成田),15:45,193,,8360
581,JTA,2044,沖縄(那覇),14:30,名古屋(中部),16:25,809,,15290
582,JAL,121,東京(羽田),14:30,大阪(伊丹),15:40,280,,10120
583,FDA,4324,札幌(新千歳),14:35,静岡,16:40,592,,23320
584,JAL,667,東京(羽田),14:35,大分,16:15,499,,15070
585,J-AIR,2056,福岡,14:35,大阪(伊丹),15:45,287,,8690
586,JTA,973,東京(羽田),14:35,石垣,18:05,1224,,17050
587,JAC,3804,沖永良部,14:35,鹿児島,15:50,326,,17380
588,J-AIR,3602,松山,14:35,福岡,15:25,131,,12980
589,J-AIR,2355,大阪(伊丹),14:35,出雲,15:25,148,,10230
590,JAL,4077,長崎,14:35,五島福江,15:05,67,,10230
591,JAL,237,東京(羽田),14:40,岡山,16:00,356,,11880
592,JAL,283,東京(羽田),14:40,出雲,16:05,405,,15620
593,JAL,648,鹿児島,14:40,東京(羽田),16:15,601,,14410
594,JAL,670,大分,14:40,東京(羽田),16:10,499,,15070
595,JAL,564,女満別,14:40,東京(羽田),16:40,609,,14410
596,J-AIR,3730,奄美大島,14:40,鹿児島,15:30,242,,14410
597,JAC,2450,屋久島,14:40,大阪(伊丹),16:15,402,,25410
598,J-AIR,2376,長崎,14:40,大阪(伊丹),15:45,330,,10230
599,JAL,3006,大阪(伊丹),14:40,東京(成田),16:00,280,,10120
600,J-AIR,2806,青森,14:40,札幌(新千歳),15:30,153,,8250
601,JAL,460,徳島,14:45,東京(羽田),16:00,329,,12760
602,RAC,834,石垣,14:45,宮古,15:15,72,,12430
603,J-AIR,2410,鹿児島,14:45,大阪(伊丹),15:50,329,,10670
604,JAL,125,東京(羽田),14:45,大阪(伊丹),15:55,280,,10120
605,HAC,2753,札幌(丘珠),14:45,函館,15:25,90,,7700
606,FDA,4446,山形,14:45,名古屋(小牧),16:00,315,,20680
607,JTA,47,名古屋(中部),14:45,沖縄(那覇),17:15,809,,15290
608,J-AIR,2331,大阪(伊丹),14:45,隠岐,15:35,165,,12870
609,JAL,2087,大阪(伊丹),14:45,沖縄(那覇),16:55,739,,13200
610,JAL,188,小松,14:50,東京(羽田),15:55,211,,9790
611,J-AIR,157,東京(羽田),14:50,三沢,16:05,355,,13750
612,RAC,727,沖縄(那覇),14:50,与那国,16:05,316,,23430
613,JAL,3873,熊本,14:50,天草,15:15,42,,8470
614,JTA,617,沖縄(那覇),14:55,石垣,15:55,247,,7590
615,JTA,934,宮古,14:55,東京(羽田),17:35,1158,,18700
616,J-AIR,294,山口宇部,14:55,東京(羽田),16:25,510,,13200
617,JAL,318,福岡,14:55,東京(羽田),16:35,567,,14410
618,JAL,483,東京(羽田),15:00,高松,16:20,354,,13310
619,JAC,3809,鹿児島,15:00,沖永良部,16:30,326,,17380
620,JAL,3406,札幌(新千歳),15:00,広島,17:10,749,,12650
621,HAC,2885,札幌(丘珠),15:00,利尻,15:55,159,,9020
622,JTA,212,久米島,15:00,沖縄(那覇),15:40,59,,5500
623,JAL,586,函館,15:00,東京(羽田),16:30,424,,13200
624,JAC,3794,徳之島,15:00,鹿児島,16:15,296,,15070
625,JAL,224,大阪(関西),15:00,東京(羽田),16:15,280,,10120
626,JAL,919,東京(羽田),15:00,沖縄(那覇),17:45,984,,13860
627,J-AIR,2409,大阪(伊丹),15:00,鹿児島,16:10,329,,10670
628,JAL,2009,大阪(伊丹),15:00,札幌(新千歳),16:45,666,,11990
629,JAL,146,青森,15:00,東京(羽田),16:25,358,,14300
630,JAL,633,東京(羽田),15:05,熊本,16:50,568,,15070
631,J-AIR,165,東京(羽田),15:05,秋田,16:10,279,,11110
632,FDA,4465,名古屋(小牧),15:05,出雲,16:05,226,,17380
633,J-AIR,2210,仙台,15:05,大阪(伊丹),16:25,396,,10780
634,JAL,988,沖縄(那覇),15:05,東京(羽田),17:30,984,,13860
635,J-AIR,2456,種子島,15:05,大阪(伊丹),16:10,379,,22330
636,JAL,612,長崎,15:10,東京(羽田),16:55,610,,16940
637,JAL,514,札幌(新千歳),15:10,東京(羽田),16:55,510,,13750
638,JTA,58,沖縄(那覇),15:10,福岡,16:50,537,,15730
639,HAC,2739,札幌(丘珠),15:10,根室中標津,16:00,178,,7920
640,JAC,3822,与論,15:10,鹿児島,16:30,358,,18260
641,JAC,3786,喜界島,15:10,鹿児島,16:15,246,,13530
642,JAL,323,東京(羽田),15:10,福岡,17:05,567,,14410
643,JAL,2469,大阪(伊丹),15:10,奄美大島,17:00,541,,11110
644,FDA,4407,名古屋(小牧),15:15,熊本,16:45,375,,18370
645,J-AIR,2438,宮崎,15:15,大阪(伊丹),16:20,292,,10340
646,J-AIR,2246,新潟,15:15,大阪(伊丹),16:25,314,,9680
647,JAL,542,釧路,15:15,東京(羽田),17:10,555,,13640
648,J-AIR,3634,宮崎,15:15,福岡,16:05,131,,6490
649,JAL,437,東京(羽田),15:20,松山,16:50,438,,13750
650,JAL,482,高松,15:20,東京(羽田),16:40,354,,13310
651,J-AIR,3635,福岡,15:20,宮崎,16:05,131,,6490
652,FDA,4390,福岡,15:25,名古屋(小牧),16:45,374,,17050
653,JAC,3769,鹿児島,15:25,種子島,16:05,88,,9240
654,FDA,4353,札幌(新千歳),15:25,松本,17:10,507,,26730
655,JAL,2505,大阪(関西),15:25,札幌(新千歳),17:15,666,,11990
656,FDA,4361,松本,15:25,大阪(神戸),16:30,183,,17050
657,J-AIR,2163,大阪(伊丹),15:30,三沢,17:00,536,,16280
658,JAL,521,東京(羽田),15:30,札幌(新千歳),17:00,510,,13750
659,RAC,827,沖縄(那覇),15:30,与論,16:10,74,,12430
660,J-AIR,3587,福岡,15:30,高知,16:20,187,,16060
661,FDA,4516,高知,15:30,名古屋(中部),16:25,201,,15620
662,JAL,124,大阪(伊丹),15:30,東京(羽田),16:45,280,,10120
663,J-AIR,2186,花巻,15:30,大阪(伊丹),17:00,474,,16500
664,HAC,2864,釧路,15:30,札幌(丘珠),16:20,136,,7700
665,JAL,4076,五島福江,15:35,長崎,16:05,67,,10230
666,JTA,565,沖縄(那覇),15:35,宮古,16:30,177,,7150
667,J-AIR,2209,大阪(伊丹),15:40,仙台,16:50,396,,10780
668,JAL,4099,福岡,15:40,五島福江,16:30,113,,14080
669,JAL,651,東京(羽田),15:40,鹿児島,17:30,601,,14410
670,JAL,461,東京(羽田),15:40,徳島,16:55,329,,12760
671,RAC,879,沖縄(那覇),15:40,久米島,16:15,59,,5500
672,JAL,632,熊本,15:45,東京(羽田),17:25,568,,15070
673,J-AIR,2236,山形,15:45,大阪(伊丹),17:05,385,,11220
674,JAC,3837,奄美大島,15:45,喜界島,16:05,16,,7480
675,JAL,3894,天草,15:45,福岡,16:25,78,,14740
676,JTA,61,福岡,15:45,沖縄(那覇),17:30,537,,15730
677,FDA,4486,新潟,15:45,札幌(新千歳),17:00,369,,9790
678,JAL,914,沖縄(那覇),15:45,東京(羽田),18:05,984,,13860
