#,運航会社,便名,出発地,出発時刻,到着地,到着時刻,区間マイル,アクション,料金
679,JAL,516,札幌(新千歳),15:45,東京(羽田),17:30,510,,13750
680,RAC,897,宮古,15:45,多良間,16:10,39,,6710
681,RAC,864,南大東,15:50,沖縄(那覇),16:55,225,,13420
682,JAL,376,北九州,15:50,東京(羽田),17:25,534,,13310
683,JAL,3918,札幌(新千歳),15:50,大阪(伊丹),17:50,666,,11990
684,JAC,3710,沖永良部,15:50,徳之島,16:10,30,,8250
685,J-AIR,2482,鹿児島,15:50,大阪(伊丹),16:55,329,,10670
686,J-AIR,3567,福岡,15:55,徳島,16:55,242,,13530
687,JAC,3654,鹿児島,15:55,福岡,16:55,125,,9240
688,FDA,4477,福岡,15:55,新潟,17:35,572,,24420
689,JAL,2010,札幌(新千歳),15:55,大阪(伊丹),17:55,666,,11990
690,HAC,2752,函館,15:55,札幌(丘珠),16:35,90,,7700
691,JAL,325,東京(羽田),15:55,福岡,17:55,567,,14410
692,JAL,320,福岡,15:55,東京(羽田),17:35,567,,14410
693,FDA,4416,花巻,16:00,名古屋(小牧),17:25,409,,21010
694,JTA,562,宮古,16:00,沖縄(那覇),16:50,177,,7150
695,J-AIR,2356,出雲,16:00,大阪(伊丹),16:45,148,,10230
696,FDA,4427,名古屋(小牧),16:00,青森,17:20,465,,21010
697,JTA,44,沖縄(那覇),16:00,名古屋(中部),18:00,809,,15290
698,JAL,496,高知,16:00,東京(羽田),17:20,393,,13090
699,JAL,921,東京(羽田),16:00,沖縄(那覇),18:50,984,,13860
700,JAL,147,東京(羽田),16:00,青森,17:15,358,,14300
701,J-AIR,2719,札幌(新千歳),16:05,女満別,16:50,148,,7370
702,J-AIR,2332,隠岐,16:05,大阪(伊丹),16:45,165,,12870
703,J-AIR,2439,大阪(伊丹),16:05,宮崎,17:10,292,,10340
704,J-AIR,2212,仙台,16:10,大阪(伊丹),17:30,396,,10780
705,J-AIR,2157,大阪(伊丹),16:15,青森,17:40,523,,12100
706,J-AIR,3797,鹿児島,16:15,徳之島,17:20,296,,15070
707,JAL,574,帯広,16:15,東京(羽田),18:05,526,,14190
708,J-AIR,2411,大阪(伊丹),16:20,鹿児島,17:35,329,,10670
709,JAL,262,広島,16:20,東京(羽田),17:40,414,,12540
710,JAL,556,旭川,16:20,東京(羽田),18:15,576,,14190
711,JAL,219,東京(羽田),16:20,南紀白浜,17:30,303,,16720
712,FDA,4314,静岡,16:25,福岡,18:20,451,,20570
713,HAC,2884,利尻,16:25,札幌(丘珠),17:15,159,,9020
714,JTA,567,沖縄(那覇),16:25,宮古,17:20,177,,7150
715,JAL,439,東京(羽田),16:25,松山,18:00,438,,13750
716,J-AIR,2179,大阪(伊丹),16:25,秋田,17:40,439,,11000
717,JAL,127,東京(羽田),16:25,大阪(伊丹),17:35,280,,10120
718,J-AIR,2839,札幌(新千歳),16:25,花巻,17:25,226,,12760
719,J-AIR,2237,大阪(伊丹),16:30,山形,17:40,385,,11220
720,JAL,285,東京(羽田),16:30,出雲,18:00,405,,15620
721,FDA,4530,仙台,16:30,福岡,18:45,665,,16830
722,HAC,2738,根室中標津,16:30,札幌(丘珠),17:25,178,,7920
723,JAL,126,大阪(伊丹),16:30,東京(羽田),17:45,280,,10120
724,J-AIR,3636,宮崎,16:35,福岡,17:25,131,,6490
725,JAC,3768,種子島,16:35,鹿児島,17:10,88,,9240
726,FDA,4467,名古屋(小牧),16:35,出雲,17:35,226,,17380
727,JTA,571,沖縄(那覇),16:35,宮古,17:30,177,,7150
728,JTA,622,石垣,16:35,沖縄(那覇),17:35,247,,7590
729,JAC,3836,喜界島,16:35,奄美大島,16:55,16,,7480
730,J-AIR,295,東京(羽田),16:35,山口宇部,18:20,510,,13200
731,JAL,189,東京(羽田),16:35,小松,17:45,211,,9790
732,JAL,4097,福岡,16:40,五島福江,17:25,113,,14080
733,RAC,828,与論,16:40,沖縄(那覇),17:15,74,,12430
734,FDA,4466,出雲,16:40,名古屋(小牧),17:35,226,,17380
735,JAL,497,東京(羽田),16:40,高知,18:05,393,,13090
736,J-AIR,156,三沢,16:40,東京(羽田),18:10,355,,13750
737,J-AIR,3735,鹿児島,16:40,奄美大島,17:40,242,,14410
738,RAC,880,久米島,16:45,沖縄(那覇),17:20,59,,5500
739,JAC,3844,徳之島,16:45,奄美大島,17:15,65,,10450
740,JAL,614,長崎,16:45,東京(羽田),18:25,610,,16940
741,J-AIR,166,秋田,16:45,東京(羽田),18:00,279,,11110
742,JAL,4043,長崎,16:45,壱岐,17:15,60,,9350
743,JAL,128,大阪(伊丹),16:45,東京(羽田),18:00,280,,10120
744,HAC,2869,札幌(丘珠),16:45,釧路,17:30,136,,7700
745,RAC,898,多良間,16:45,宮古,17:10,39,,6710
746,FDA,4417,名古屋(小牧),16:45,花巻,17:55,409,,21010
747,JAC,3777,鹿児島,16:50,種子島,17:30,88,,9240
748,JAC,3755,鹿児島,16:50,屋久島,17:30,102,,9020
749,RAC,746,与那国,16:50,石垣,17:20,80,,9350
750,JAL,523,東京(羽田),16:50,札幌(新千歳),18:25,510,,13750
751,JAL,322,福岡,16:50,東京(羽田),18:30,567,,14410
752,J-AIR,696,宮崎,16:55,東京(羽田),18:30,561,,15070
753,JAL,3895,福岡,16:55,天草,17:30,78,,14740
754,JAC,2325,大阪(伊丹),16:55,但馬,17:30,68,,8360
755,J-AIR,2187,大阪(伊丹),16:55,花巻,18:15,474,,16500
756,JAL,3117,名古屋(中部),16:55,札幌(新千歳),18:35,614,,12100
757,J-AIR,3588,高知,16:55,福岡,18:00,187,,16060
758,JAL,669,東京(羽田),16:55,大分,18:40,499,,15070
759,HAC,3449,札幌(丘珠),16:55,函館,17:35,90,,7700
760,JAL,327,東京(羽田),16:55,福岡,19:05,567,,14410
761,J-AIR,2213,大阪(伊丹),17:00,仙台,18:10,396,,10780
762,JAL,484,高松,17:00,東京(羽田),18:15,354,,13310
763,JAC,3808,沖永良部,17:00,鹿児島,18:15,326,,17380
764,J-AIR,2058,福岡,17:00,大阪(伊丹),18:10,287,,8690
765,FDA,4317,福岡,17:00,静岡,18:25,451,,20570
766,J-AIR,2251,大阪(伊丹),17:00,新潟,18:05,314,,9680
767,JAL,4078,五島福江,17:00,長崎,17:30,67,,10230
768,JAL,518,札幌(新千歳),17:00,東京(羽田),18:45,510,,13750
769,HAC,2825,札幌(丘珠),17:05,秋田,18:15,238,,8800
770,FDA,4501,大阪(神戸),17:05,青森,18:40,523,,12100
771,JAL,695,東京(羽田),17:05,宮崎,18:50,561,,15070
772,JAC,3737,鹿児島,17:10,奄美大島,18:25,242,,14410
773,JTA,564,宮古,17:10,沖縄(那覇),18:00,177,,7150
774,JAL,159,東京(羽田),17:10,三沢,18:35,355,,13750
775,JAL,284,出雲,17:15,東京(羽田),18:35,405,,15620
776,J-AIR,2377,大阪(伊丹),17:15,長崎,18:35,330,,10230
777,FDA,4549,名古屋(小牧),17:15,熊本,18:45,375,,18370
778,JTA,2049,名古屋(中部),17:15,沖縄(那覇),19:50,809,,15290
779,JAL,545,東京(羽田),17:15,釧路,18:55,555,,13640
780,JAL,672,大分,17:15,東京(羽田),18:45,499,,15070
781,JAL,923,東京(羽田),17:15,沖縄(那覇),20:10,984,,13860
782,JAL,557,東京(羽田),17:20,旭川,19:05,576,,14190
783,FDA,4429,名古屋(小牧),17:20,青森,18:40,465,,21010
784,J-AIR,2907,仙台,17:20,札幌(新千歳),18:30,335,,11000
785,J-AIR,2415,大阪(伊丹),17:20,鹿児島,18:35,329,,10670
786,JAL,589,東京(羽田),17:20,函館,18:45,424,,13200
787,JTA,2062,沖縄(那覇),17:20,福岡,19:00,537,,15730
788,JAL,324,福岡,17:20,東京(羽田),19:00,567,,14410
789,J-AIR,2718,女満別,17:20,札幌(新千歳),18:10,148,,7370
790,FDA,4302,熊本,17:25,静岡,18:45,448,,25850
791,RAC,881,沖縄(那覇),17:25,久米島,17:55,59,,5500
792,JAL,650,鹿児島,17:30,東京(羽田),19:10,601,,14410
793,J-AIR,3568,徳島,17:30,福岡,18:40,242,,13530
794,JTA,621,沖縄(那覇),17:30,石垣,18:30,247,,7590
795,JAL,520,札幌(新千歳),17:30,東京(羽田),19:15,510,,13750
796,JTA,63,福岡,17:30,沖縄(那覇),19:15,537,,15730
797,J-AIR,2443,大阪(伊丹),17:30,宮崎,18:40,292,,10340
798,FDA,4316,静岡,17:30,福岡,19:25,451,,20570
799,JAC,3734,奄美大島,17:30,鹿児島,18:35,242,,14410
800,HAC,2727,札幌(丘珠),17:30,女満別,18:15,148,,7370
801,JAL,239,東京(羽田),17:30,岡山,18:55,356,,11880
802,JAL,579,東京(羽田),17:30,帯広,19:10,526,,14190
803,JAL,240,岡山,17:30,東京(羽田),18:50,356,,11880
804,J-AIR,179,東京(羽田),17:30,山形,18:30,190,,10780
805,JAL,569,東京(羽田),17:35,女満別,19:20,609,,14410
806,J-AIR,2389,大阪(伊丹),17:35,熊本,18:45,290,,10890
807,JAL,131,東京(羽田),17:35,大阪(伊丹),18:45,280,,10120
808,JAL,634,熊本,17:35,東京(羽田),19:15,568,,15070
809,JAL,2016,札幌(新千歳),17:35,大阪(伊丹),19:35,666,,11990
810,JAL,438,松山,17:35,東京(羽田),19:00,438,,13750
811,JAC,3555,福岡,17:35,出雲,18:45,188,,13530
812,J-AIR,2166,三沢,17:35,大阪(伊丹),19:20,536,,16280
813,RAC,839,宮古,17:40,石垣,18:15,72,,12430
814,JAL,525,東京(羽田),17:40,札幌(新千歳),19:15,510,,13750
815,J-AIR,2440,宮崎,17:40,大阪(伊丹),18:40,292,,10340
816,J-AIR,2367,大阪(伊丹),17:40,大分,18:40,219,,9790
817,JTA,8,沖縄(那覇),17:40,大阪(関西),19:35,739,,13200
818,FDA,4472,札幌(新千歳),17:40,福岡,20:40,882,,12650
819,JAL,613,東京(羽田),17:45,長崎,19:50,610,,16940
820,JAL,637,東京(羽田),17:45,熊本,19:40,568,,15070
821,JAL,4044,壱岐,17:45,長崎,18:15,60,,9350
822,JAL,462,徳島,17:45,東京(羽田),19:00,329,,12760
823,J-AIR,3796,徳之島,17:50,鹿児島,18:40,296,,15070
824,FDA,4517,名古屋(中部),17:50,高知,18:55,201,,15620
825,JAL,264,広島,17:50,東京(羽田),19:15,414,,12540
826,JAC,3759,鹿児島,17:50,屋久島,18:30,102,,9020
827,RAC,747,石垣,17:50,与那国,18:20,80,,9350
828,JAL,329,東京(羽田),17:55,福岡,20:00,567,,14410
829,JAL,2468,奄美大島,17:55,大阪(伊丹),19:20,541,,11110
830,FDA,4426,青森,17:55,名古屋(小牧),19:25,465,,21010
831,FDA,4348,松本,17:55,福岡,19:55,461,,25630
832,JTA,573,沖縄(那覇),17:55,宮古,18:50,177,,7150
833,JAC,3843,奄美大島,17:55,徳之島,18:30,65,,10450
834,JAL,265,東京(羽田),17:55,広島,19:30,414,,12540
835,JAL,4096,五島福江,17:55,福岡,18:40,113,,14080
836,J-AIR,2838,花巻,17:55,札幌(新千歳),18:55,226,,12760
837,JAL,3898,天草,18:00,福岡,18:40,78,,14740
838,JAC,2326,但馬,18:00,大阪(伊丹),18:35,68,,8360
839,FDA,4409,名古屋(小牧),18:00,熊本,19:30,375,,18370
840,JAL,2506,札幌(新千歳),18:00,大阪(関西),20:20,666,,11990
841,HAC,2868,釧路,18:00,札幌(丘珠),18:50,136,,7700
842,JAL,522,札幌(新千歳),18:00,東京(羽田),19:45,510,,13750
843,J-AIR,3607,福岡,18:00,松山,18:45,131,,12980
844,JAL,916,沖縄(那覇),18:00,東京(羽田),20:15,984,,13860
845,JAC,3772,種子島,18:00,鹿児島,18:35,88,,9240
846,HAC,3448,函館,18:05,札幌(丘珠),18:45,90,,7700
847,JAC,3752,屋久島,18:05,鹿児島,18:40,102,,9020
848,JAL,485,東京(羽田),18:05,高松,19:30,354,,13310
849,HAC,2755,札幌(丘珠),18:05,函館,18:45,90,,7700
850,JTA,566,宮古,18:05,沖縄(那覇),18:55,177,,7150
851,JAL,148,青森,18:05,東京(羽田),19:30,358,,14300
852,JAL,133,東京(羽田),18:05,大阪(伊丹),19:15,280,,10120
853,RAC,883,沖縄(那覇),18:05,久米島,18:40,59,,5500
854,J-AIR,2357,大阪(伊丹),18:05,出雲,18:55,148,,10230
855,JAL,287,東京(羽田),18:10,出雲,19:40,405,,15620
856,J-AIR,2412,鹿児島,18:10,大阪(伊丹),19:20,329,,10670
857,JTA,572,宮古,18:10,沖縄(那覇),19:00,177,,7150
858,J-AIR,2238,山形,18:10,大阪(伊丹),19:30,385,,11220
859,JAL,2088,沖縄(那覇),18:10,大阪(伊丹),20:00,739,,13200
860,J-AIR,3684,奄美大島,18:10,福岡,19:35,360,,13750
861,FDA,4468,出雲,18:10,名古屋(小牧),19:05,226,,17380
862,FDA,4436,新潟,18:15,名古屋(小牧),19:15,249,,18920
863,J-AIR,2176,秋田,18:15,大阪(伊丹),19:45,439,,11000
864,JAL,326,福岡,18:15,東京(羽田),19:50,567,,14410
865,JAL,218,南紀白浜,18:20,東京(羽田),19:30,303,,16720
866,JTA,625,沖縄(那覇),18:20,石垣,19:20,247,,7590
867,JAL,653,東京(羽田),18:20,鹿児島,20:15,601,,14410
868,JTA,60,沖縄(那覇),18:20,福岡,20:05,537,,15730
869,FDA,4437,名古屋(小牧),18:20,新潟,19:15,249,,18920
870,JAL,3009,東京(成田),18:25,大阪(伊丹),19:50,280,,10120
871,JAL,377,東京(羽田),18:25,北九州,20:15,534,,13310
872,RAC,882,久米島,18:25,沖縄(那覇),19:00,59,,5500
873,J-AIR,2158,青森,18:25,大阪(伊丹),20:10,523,,12100
874,JAL,190,小松,18:25,東京(羽田),19:35,211,,9790
875,JAL,3087,東京(成田),18:30,名古屋(中部),19:45,193,,8360
876,JAL,527,東京(羽田),18:30,札幌(新千歳),20:00,510,,13750
877,JAL,463,東京(羽田),18:30,徳島,19:45,329,,12760
878,FDA,4418,花巻,18:30,名古屋(小牧),19:55,409,,21010
879,J-AIR,2250,新潟,18:35,大阪(伊丹),19:55,314,,9680
880,JAL,130,大阪(伊丹),18:35,東京(羽田),19:45,280,,10120
881,J-AIR,2060,福岡,18:35,大阪(伊丹),19:50,287,,8690
882,JTA,191,東京(羽田),18:40,小松,19:45,211,,9790
883,JTA,16,沖縄(那覇),18:40,岡山,20:25,690,,20570
884,JAL,331,東京(羽田),18:40,福岡,20:40,567,,14410
885,J-AIR,2216,仙台,18:40,大阪(伊丹),20:15,396,,10780
886,J-AIR,697,東京(羽田),18:40,宮崎,20:30,561,,15070
887,JAL,2019,大阪(伊丹),18:40,札幌(新千歳),20:25,666,,11990
888,HAC,2826,秋田,18:45,札幌(丘珠),19:50,238,,8800
889,JAL,149,東京(羽田),18:45,青森,20:05,358,,14300
890,JTA,626,石垣,18:45,沖縄(那覇),19:45,247,,7590
891,J-AIR,2309,大阪(伊丹),18:45,松山,19:35,159,,11330
892,J-AIR,2190,花巻,18:45,大阪(伊丹),20:25,474,,16500
893,HAC,2726,女満別,18:45,札幌(丘珠),19:35,148,,7370
894,JAL,137,東京(羽田),18:45,大阪(伊丹),20:00,280,,10120
895,J-AIR,2906,札幌(新千歳),18:45,仙台,19:55,335,,11000
896,FDA,4392,福岡,18:50,名古屋(小牧),20:10,374,,17050
897,JAL,440,松山,18:50,東京(羽田),20:10,438,,13750
898,RAC,728,与那国,18:50,沖縄(那覇),20:10,316,,23430
899,J-AIR,297,東京(羽田),18:55,山口宇部,20:45,510,,13200
900,JAL,139,東京(羽田),18:55,大阪(伊丹),20:20,280,,10120
901,JAC,3687,鹿児島,18:55,松山,19:50,181,,13420
902,JAL,499,東京(羽田),18:55,高知,20:20,393,,13090
903,JTA,49,名古屋(中部),18:55,沖縄(那覇),21:20,809,,15290
904,JAL,328,福岡,18:55,東京(羽田),20:30,567,,14410
905,JAL,3919,大阪(伊丹),19:00,札幌(新千歳),20:45,666,,11990
906,RAC,838,石垣,19:00,宮古,19:30,72,,12430
907,JAL,4061,長崎,19:00,対馬,19:35,98,,12210
908,JAL,286,出雲,19:00,東京(羽田),20:20,405,,15620
909,J-AIR,2809,札幌(新千歳),19:00,青森,19:50,153,,8250
910,JAC,3756,屋久島,19:00,鹿児島,19:35,102,,9020
911,JAL,639,東京(羽田),19:00,熊本,20:50,568,,15070
912,JAL,918,沖縄(那覇),19:00,東京(羽田),21:10,984,,13860
913,JAC,3798,徳之島,19:00,鹿児島,20:10,296,,15070
914,JAC,3738,奄美大島,19:00,鹿児島,20:05,242,,14410
915,J-AIR,2378,長崎,19:05,大阪(伊丹),20:20,330,,10230
916,JAL,333,東京(羽田),19:05,福岡,21:10,567,,14410
917,JAL,652,鹿児島,19:05,東京(羽田),20:40,601,,14410
918,JAL,3899,福岡,19:10,天草,19:45,78,,14740
919,RAC,884,久米島,19:10,沖縄(那覇),19:45,59,,5500
920,J-AIR,296,山口宇部,19:10,東京(羽田),20:40,510,,13200
921,JAL,615,東京(羽田),19:10,長崎,21:15,610,,16940
922,J-AIR,2366,大分,19:10,大阪(伊丹),20:15,219,,9790
923,J-AIR,2414,鹿児島,19:10,大阪(伊丹),20:30,329,,10670
924,JAL,158,三沢,19:15,東京(羽田),20:40,355,,13750
925,J-AIR,3639,福岡,19:15,宮崎,20:00,131,,6490
926,FDA,4548,熊本,19:15,名古屋(小牧),20:35,375,,18370
927,JAC,3554,出雲,19:15,福岡,20:30,188,,13530
928,J-AIR,178,山形,19:15,東京(羽田),20:25,190,,10780
929,J-AIR,2392,熊本,19:15,大阪(伊丹),20:30,290,,10890
930,J-AIR,2310,松山,19:15,大阪(伊丹),20:10,159,,11330
931,J-AIR,2444,宮崎,19:15,大阪(伊丹),20:30,292,,10340
932,JAL,498,高知,19:15,東京(羽田),20:30,393,,13090
933,FDA,4428,青森,19:15,名古屋(小牧),20:45,465,,21010
934,J-AIR,167,東京(羽田),19:15,秋田,20:25,279,,11110
935,HAC,2754,函館,19:15,札幌(丘珠),19:55,90,,7700
936,JTA,974,石垣,19:20,東京(羽田),22:00,1224,,17050
937,JAL,3118,札幌(新千歳),19:20,名古屋(中部),21:10,614,,12100
938,HAC,2757,札幌(丘珠),19:20,函館,20:00,90,,7700
939,FDA,4319,福岡,19:20,静岡,20:45,451,,20570
940,FDA,4378,高知,19:25,名古屋(小牧),20:25,201,,15620
941,J-AIR,2358,出雲,19:25,大阪(伊丹),20:20,148,,10230
942,J-AIR,2393,大阪(伊丹),19:25,熊本,20:40,290,,10890
943,JAL,335,東京(羽田),19:25,福岡,21:30,567,,14410
944,JAL,655,東京(羽田),19:25,鹿児島,21:20,601,,14410
945,JTA,128,宮古,19:30,大阪(関西),21:35,906,,16830
946,JAL,134,大阪(伊丹),19:30,東京(羽田),20:40,280,,10120
947,JAL,674,大分,19:30,東京(羽田),20:55,499,,15070
948,JAL,588,函館,19:30,東京(羽田),21:00,424,,13200
949,JAL,465,東京(羽田),19:35,徳島,20:55,329,,12760
950,JAL,544,釧路,19:35,東京(羽田),21:25,555,,13640
951,JAL,524,札幌(新千歳),19:35,東京(羽田),21:15,510,,13750
952,JAL,242,岡山,19:40,東京(羽田),20:50,356,,11880
953,JAL,443,東京(羽田),19:40,松山,21:10,438,,13750
954,JAL,151,東京(羽田),19:40,青森,21:00,358,,14300
955,JTA,62,沖縄(那覇),19:45,福岡,21:25,537,,15730
956,FDA,4393,名古屋(小牧),19:45,福岡,21:20,374,,17050
957,JAL,698,宮崎,19:45,東京(羽田),21:15,561,,15070
958,JAL,529,東京(羽田),19:45,札幌(新千歳),21:15,510,,13750
959,J-AIR,2910,札幌(新千歳),19:45,仙台,20:50,335,,11000
960,JTA,2063,福岡,19:45,沖縄(那覇),21:35,537,,15730
961,FDA,4438,新潟,19:50,名古屋(小牧),20:50,249,,18920
962,JAL,558,旭川,19:50,東京(羽田),21:40,576,,14190
963,JAL,920,沖縄(那覇),19:50,東京(羽田),22:05,984,,13860
964,JAL,209,東京(羽田),19:55,名古屋(中部),21:00,193,,8360
965,JTA,46,沖縄(那覇),19:55,名古屋(中部),21:50,809,,15290
966,JAL,241,東京(羽田),19:55,岡山,21:15,356,,11880
967,J-AIR,2217,大阪(伊丹),19:55,仙台,21:10,396,,10780
968,JAL,267,東京(羽田),19:55,広島,21:25,414,,12540
969,J-AIR,2419,大阪(伊丹),19:55,鹿児島,21:10,329,,10670
970,JAL,576,帯広,19:55,東京(羽田),21:40,526,,14190
971,JAL,671,東京(羽田),19:55,大分,21:40,499,,15070
972,RAC,804,宮古,20:00,沖縄(那覇),20:55,177,,7150
973,JAL,566,女満別,20:00,東京(羽田),21:55,609,,14410
974,FDA,4394,福岡,20:00,名古屋(小牧),21:20,374,,17050
975,JAL,925,東京(羽田),20:00,沖縄(那覇),22:50,984,,13860
976,FDA,4408,熊本,20:00,名古屋(小牧),21:20,375,,18370
977,JAL,4062,対馬,20:05,長崎,20:45,98,,12210
978,J-AIR,3608,松山,20:05,福岡,21:05,131,,12980
979,JTA,86,石垣,20:05,大阪(関西),22:15,969,,17930
980,J-AIR,2061,大阪(伊丹),20:05,福岡,21:30,287,,8690
981,JAL,330,福岡,20:05,東京(羽田),21:45,567,,14410
982,JAL,138,大阪(伊丹),20:10,東京(羽田),21:20,280,,10120
983,JAL,526,札幌(新千歳),20:10,東京(羽田),21:55,510,,13750
984,J-AIR,3641,福岡,20:10,宮崎,21:00,131,,6490
985,JAL,487,東京(羽田),20:15,高松,21:35,354,,13310
986,JTA,9,大阪(関西),20:15,沖縄(那覇),22:30,739,,13200
987,JAC,3686,松山,20:20,鹿児島,21:20,181,,13420
988,JAL,486,高松,20:20,東京(羽田),21:30,354,,13310
989,JTA,192,小松,20:25,東京(羽田),21:35,211,,9790
990,J-AIR,2909,仙台,20:25,札幌(新千歳),21:30,335,,11000
991,JAL,464,徳島,20:30,東京(羽田),21:45,329,,12760
992,J-AIR,2810,青森,20:30,札幌(新千歳),21:15,153,,8250
993,JAL,266,広島,20:30,東京(羽田),21:50,414,,12540
994,JAL,599,東京(羽田),20:30,札幌(新千歳),22:10,510,,13750
995,JAL,638,熊本,20:30,東京(羽田),22:00,568,,15070
996,JTA,48,沖縄(那覇),20:35,名古屋(中部),22:30,809,,15290
997,J-AIR,3642,宮崎,20:35,福岡,21:30,131,,6490
998,JAL,616,長崎,20:35,東京(羽田),22:10,610,,16940
999,JAL,193,東京(羽田),20:40,小松,21:45,211,,9790
1000,JAL,531,東京(羽田),20:40,札幌(新千歳),22:15,510,,13750
1001,JAL,922,沖縄(那覇),20:50,東京(羽田),23:05,984,,13860
1002,JTA,65,福岡,20:50,沖縄(那覇),22:35,537,,15730
1003,JAL,150,青森,20:50,東京(羽田),22:15,358,,14300
1004,JAL,378,北九州,20:55,東京(羽田),22:20,534,,13310
1005,JAL,229,東京(羽田),20:55,大阪(関西),22:15,280,,10120
1006,J-AIR,168,秋田,21:00,東京(羽田),22:15,279,,11110
1007,JAL,654,鹿児島,21:00,東京(羽田),22:35,601,,14410
1008,JAL,332,福岡,21:05,東京(羽田),22:40,567,,14410
1009,JAL,228,大阪(関西),21:05,東京(羽田),22:15,280,,10120
1010,JAL,528,札幌(新千歳),21:10,東京(羽田),22:50,510,,13750
1011,JAL,530,札幌(新千歳),21:15,東京(羽田),23:00,510,,13750
1012,JAL,208,名古屋(中部),21:20,東京(羽田),22:20,193,,8360
